LoanApproved,Age,EducationLevel,Income
0,65,3,56221
0,74,3,46326
0,57,4,30653
0,45,2,134367
0,36,1,48190
0,20,2,45778
0,69,0,86048
0,72,2,144755
0,37,3,72106
0,25,3,144465
0,78,1,72531
0,55,3,24563
0,72,4,58848
0,54,4,142943
0,58,0,40101
0,22,1,22525
0,56,3,131220
0,63,2,94651
0,36,1,25628
0,19,1,108167
0,73,4,133406
0,25,1,46264
0,18,1,56445
0,26,4,130483
0,73,4,35164
0,71,0,74864
0,46,4,86840
0,76,2,79333
0,55,0,27604
0,36,3,85247
0,56,2,77330
0,55,4,95882
0,70,3,20543
0,27,4,120875
0,54,3,76680
0,32,1,63246
0,37,2,40782
0,27,3,30097
0,57,0,103125
0,64,2,101248
0,31,0,65423
0,22,0,33540
0,38,4,92165
0,48,3,51454
0,54,0,96808
0,54,0,21828
0,32,2,68955
0,46,3,57516
0,29,2,46915
0,35,2,49775
0,42,1,131357
0,61,3,104976
0,35,2,48849
0,31,2,54412
0,36,2,132365
0,20,1,80726
0,33,0,48501
0,55,0,97071
0,47,0,81433
0,45,1,21697
0,50,4,49206
0,25,1,119060
0,76,1,132059
0,23,2,95085
0,20,1,94961
0,27,3,25198
0,59,1,146014
0,51,1,51469
0,30,1,74317
0,35,4,138465
0,49,2,66424
0,27,4,95178
0,68,3,131528
0,19,1,48372
0,27,3,129750
0,69,1,88843
0,64,0,145299
0,56,2,109353
0,60,0,30496
0,54,2,48043
0,75,4,133658
0,49,3,20102
0,43,1,142067
0,78,0,77778
0,30,2,135241
0,43,1,96071
0,50,3,147129
0,24,4,137965
0,25,4,94025
0,20,2,142974
0,60,0,137161
0,26,3,107615
0,27,1,100811
0,65,0,145343
0,66,4,104118
0,20,0,135113
0,45,0,68910
0,49,2,121381
0,45,1,27527
0,69,3,98922
0,65,1,106880
0,21,1,149104
0,80,3,125906
0,78,0,39554
0,33,4,66378
0,30,3,62732
0,76,4,26698
0,18,2,39255
0,31,2,51668
0,78,0,136114
0,19,4,55477
0,61,2,133617
0,34,3,107592
0,32,4,57688
0,58,4,74501
0,76,3,134645
0,51,1,106718
0,66,4,75986
0,30,3,82555
0,37,1,120963
0,19,3,145432
0,76,2,134634
0,66,4,140933
0,24,1,126876
0,28,0,59486
0,35,3,106084
0,43,1,79120
0,33,0,65683
0,23,4,115853
0,76,2,29942
0,80,2,41351
0,63,3,113789
0,52,4,95067
0,51,3,75832
0,40,3,67258
0,34,1,88311
0,64,2,91426
0,64,3,65014
0,33,4,42112
0,37,4,84367
0,62,0,125842
0,63,0,82368
0,33,0,76194
0,60,3,84237
0,56,2,132097
0,25,0,122586
0,42,2,122090
0,46,2,64248
0,65,2,89594
0,38,4,60058
0,67,1,63565
0,62,2,62613
0,54,4,44812
0,57,0,78697
0,42,1,108567
0,48,1,104921
0,77,3,126679
0,49,3,32062
0,66,4,65430
0,36,3,127951
0,45,1,33081
0,73,4,52702
0,74,4,106955
0,57,4,114760
0,55,0,124255
0,41,3,20859
0,56,2,66901
0,67,2,105341
0,55,0,21451
0,35,3,122402
0,21,1,107420
0,45,1,114993
0,78,1,56190
0,68,0,97704
0,56,0,30429
0,44,1,124941
0,41,1,144953
0,43,4,43144
0,20,3,58189
0,25,0,33031
0,60,3,86913
0,60,2,30715
0,38,1,64919
0,30,3,82787
0,39,0,65183
0,67,3,79790
0,69,3,123151
0,79,0,47270
0,21,4,85433
0,60,2,23311
0,37,2,91278
0,23,0,95905
0,70,4,130677
0,38,4,143425
0,18,3,71982
0,72,1,87373
0,64,1,63524
0,34,3,146669
0,34,0,45401
0,18,1,23374
0,56,0,95186
0,56,3,146674
0,19,4,65044
0,41,1,33933
0,19,3,128894
0,71,2,123280
0,76,4,98672
0,41,4,124145
0,47,3,38689
0,74,0,103594
0,51,1,72612
0,37,1,50750
0,77,3,86645
0,43,2,36917
0,66,0,40523
0,26,1,22052
0,36,3,81223
0,70,1,40604
0,76,2,109416
0,58,1,81839
0,55,1,44043
0,78,0,138956
0,21,1,105457
0,36,3,30393
0,62,3,135424
0,64,1,60672
0,34,2,98788
0,47,2,137289
0,26,4,135903
0,19,2,32880
0,26,0,120354
0,73,2,108937
0,71,4,31490
0,56,1,63519
0,40,2,69739
0,32,3,97173
0,44,4,93970
0,27,3,29540
0,63,3,36925
0,32,4,78468
0,53,1,125897
0,26,2,129697
0,31,1,106220
0,32,1,96682
0,44,2,46039
0,20,2,84276
0,74,1,91191
0,47,0,131028
0,18,1,99184
0,31,0,94798
0,30,2,22214
0,69,2,22042
0,68,3,125586
0,40,4,115491
0,22,1,110399
0,45,1,58300
0,76,0,71661
0,65,0,43980
0,42,1,118781
0,51,3,55532
0,66,3,20281
0,52,0,88112
0,46,4,93613
0,44,4,139386
0,37,3,145058
0,22,0,35879
0,54,1,71413
0,75,2,63761
0,46,3,67770
0,64,0,138151
0,43,0,38636
0,67,3,72568
0,36,1,45413
0,41,1,49859
0,79,4,58456
0,69,4,72828
0,20,3,102602
0,55,3,86280
0,20,1,24438
0,79,0,143314
0,72,0,35361
0,56,2,27892
0,44,2,25176
0,56,0,129499
0,78,1,31320
0,63,2,140900
0,60,4,24652
0,78,4,60761
0,62,1,148075
0,38,0,134667
0,62,2,54815
0,64,3,132504
0,26,3,70822
0,38,1,60306
0,32,1,56303
0,41,4,85185
0,72,3,27969
0,73,3,66730
0,22,3,122655
0,38,4,94320
0,28,2,25181
0,72,2,126940
0,19,0,90896
0,80,0,73831
0,70,2,106331
0,77,3,31390
0,34,4,77468
0,37,3,35773
0,59,4,58481
0,62,3,24376
0,54,1,126550
0,72,3,147129
0,50,2,103893
0,49,4,86750
0,76,4,47221
0,67,3,34842
0,34,2,101136
0,37,3,38522
0,78,4,145662
0,52,2,94913
0,21,4,120398
0,42,0,88707
0,58,3,94259
0,38,0,31251
0,36,1,106038
0,74,1,75558
0,19,3,26099
0,39,4,97414
0,22,1,57207
0,56,1,63264
0,69,3,51055
0,42,0,127471
0,31,1,38564
0,44,4,52580
0,31,0,41139
0,49,0,113832
0,75,0,28142
0,60,0,134673
0,35,0,53515
0,65,2,41009
0,68,0,96586
0,80,3,113085
0,27,3,120915
0,68,3,146084
0,20,1,92884
0,30,4,50602
0,53,2,123651
0,33,1,86788
0,32,4,58172
0,68,2,39159
0,66,3,52598
0,68,3,29449
0,68,1,120382
0,52,2,25650
0,68,3,36968
0,65,2,92640
0,59,4,81787
0,29,1,76328
0,36,2,35329
0,69,0,79574
0,31,1,33813
0,49,0,53073
0,80,2,137502
0,77,2,78441
0,28,3,29463
0,59,4,119197
0,68,0,125646
0,50,1,108709
0,30,3,125328
0,65,4,126900
0,55,4,98791
0,38,1,135137
0,38,3,107318
0,35,2,58695
0,74,2,38554
0,20,0,35572
0,19,2,78845
0,54,1,48406
0,67,1,144001
0,80,4,144652
0,61,4,140736
0,71,0,98704
0,73,2,47236
0,74,1,60477
0,21,4,21014
0,38,2,122106
0,44,0,20330
0,40,0,52248
0,18,4,131377
0,56,3,104888
0,65,3,96775
0,49,3,85009
0,56,1,113979
0,64,0,66597
0,27,0,49806
0,39,0,76616
0,57,4,47295
0,41,2,110356
0,18,2,52185
0,74,1,53243
0,35,0,79892
0,71,0,86046
0,47,4,76286
0,23,3,98199
0,63,1,149352
0,32,4,37877
0,60,0,29521
0,52,1,84003
0,64,3,54701
0,47,3,67344
0,38,2,33597
0,25,2,65539
0,61,2,36059
0,31,0,126634
0,50,2,118589
0,49,1,82379
0,47,1,68870
0,32,1,33528
0,72,2,93637
0,23,3,65084
0,68,2,30686
0,80,4,140488
0,58,1,140134
0,43,1,107879
0,44,2,49499
0,58,1,110658
0,26,2,133819
0,48,3,139552
0,39,1,67199
0,57,2,53319
0,70,0,36715
0,36,0,135571
0,25,4,64549
0,70,2,89372
0,35,3,62190
0,35,0,45854
0,47,2,97366
0,49,2,43810
0,41,3,142083
0,44,1,87692
0,69,1,100671
0,71,1,58489
0,26,0,87792
0,33,4,84760
0,29,1,134443
0,71,3,89377
0,72,4,137683
0,48,2,48153
0,22,0,118881
0,64,3,89168
0,51,3,78570
0,42,3,78350
0,47,0,63059
0,36,0,141183
0,77,3,142729
0,39,0,125861
0,74,3,93232
0,49,0,139845
0,53,0,68012
0,29,0,57355
0,36,0,54984
0,63,3,46883
0,78,2,127611
0,48,4,135705
0,36,2,140661
0,64,3,73046
0,47,4,73370
0,46,3,46629
0,51,1,83320
0,76,0,92413
0,29,2,46548
0,58,1,32117
0,18,1,35206
0,26,3,28868
0,43,4,37016
0,30,4,126797
0,71,2,103428
0,66,4,146530
0,57,4,149808
0,31,4,43478
0,64,4,125698
0,46,2,84407
0,50,3,132849
0,76,0,107499
0,57,0,22718
0,43,0,27162
0,31,2,125851
0,31,1,82785
0,46,1,41169
0,65,0,46562
0,65,2,58344
0,52,1,103883
0,30,2,148191
0,36,1,69777
0,68,1,142365
0,58,0,137298
0,21,1,52847
0,60,3,46202
0,75,3,52933
0,40,4,78332
0,72,0,131529
0,65,2,57811
0,63,0,111330
0,64,0,124954
0,59,3,39531
0,76,0,59159
0,19,4,119130
0,20,0,75385
0,35,4,109878
0,53,2,139773
0,40,2,37113
0,33,4,77757
0,21,2,32927
0,19,2,128198
0,34,0,57339
0,25,4,92546
0,76,2,115610
0,75,4,84017
0,62,1,80659
0,31,1,37587
0,26,3,114062
0,56,4,116571
0,35,0,64853
0,60,4,77046
0,48,4,106542
0,56,2,84507
0,46,2,82769
0,75,2,22848
0,78,3,71134
0,73,0,72366
0,18,2,62119
0,73,0,149491
0,50,4,64247
0,38,2,103893
0,29,1,93676
0,50,1,122849
0,63,1,38126
0,65,0,77773
0,51,2,144138
0,72,0,49935
0,47,3,97747
0,41,0,58719
0,62,1,43535
0,70,2,92724
0,46,2,35774
0,29,1,98141
0,52,1,53131
0,75,1,126605
0,70,3,89014
0,39,2,28660
0,37,4,85840
0,37,2,128799
0,77,2,30168
0,73,2,59464
0,35,3,83423
0,20,1,97098
0,72,4,123393
0,44,3,120462
0,44,3,122594
0,54,4,106640
0,49,0,137789
0,69,1,112161
0,41,3,126896
0,46,1,46657
0,19,2,97141
0,57,1,134586
0,50,1,64950
0,74,0,30353
0,78,0,139970
0,49,2,77415
0,62,4,128065
0,75,4,20875
0,67,4,94671
0,52,4,28118
0,41,3,102923
0,21,0,145509
0,32,2,138273
0,80,4,58607
0,70,0,114318
0,78,3,99884
0,62,1,120882
0,25,2,43030
0,37,3,115359
0,56,0,101839
0,30,1,43453
0,26,2,58021
0,52,4,104729
0,47,2,27922
0,43,3,108458
0,76,4,144926
0,35,1,79035
0,25,1,27476
0,21,1,51762
0,23,2,78534
0,65,2,101872
0,69,0,48185
0,34,2,100703
0,28,1,59924
0,50,4,75656
0,22,2,119344
0,66,0,94027
0,55,3,127381
0,19,3,140522
0,43,0,81992
0,19,2,36805
0,49,1,60184
0,52,2,38522
0,63,1,79859
0,31,3,64013
0,64,1,117372
0,48,0,128765
0,45,2,112294
0,73,0,55040
0,67,2,137544
0,67,2,129759
0,71,1,87922
0,70,3,134217
0,41,3,24098
0,52,4,31223
0,24,2,69975
0,43,4,33906
0,29,0,56713
0,24,0,57244
0,36,1,141942
0,28,4,147424
0,73,0,80619
0,75,3,145461
0,50,0,116914
0,70,4,58940
0,30,0,84019
0,35,2,145533
0,19,1,128290
0,48,4,90579
0,70,4,51320
0,60,2,137744
0,64,2,69753
0,77,2,131795
0,70,0,127218
0,66,4,27246
0,63,2,138588
0,35,2,66541
0,63,4,115530
0,34,1,28424
0,56,4,65669
0,76,3,79504
0,35,0,53268
0,29,2,106532
0,44,0,78998
0,28,2,42899
0,80,2,67222
0,71,2,46876
0,48,4,81988
0,75,0,124978
0,19,1,56236
0,49,1,101083
0,65,0,119813
0,23,2,28294
0,80,0,119437
0,63,0,146024
0,65,1,46422
0,77,4,128377
0,50,4,111435
0,46,4,102738
0,27,4,63498
0,53,1,25679
0,18,1,33819
0,74,0,42867
0,29,1,55767
0,34,2,148669
0,45,1,120940
0,25,1,126121
0,38,4,46348
0,64,2,141312
0,41,4,112148
0,43,1,52522
0,45,3,74524
0,70,2,96389
0,35,0,130209
0,23,4,55969
0,29,3,148378
0,25,2,61484
0,38,0,65731
0,27,2,95701
0,37,3,93847
0,33,3,22454
0,53,3,119074
0,21,4,109926
0,47,3,41563
0,71,3,27748
0,37,2,78896
0,33,3,49198
0,48,0,66786
0,77,0,55097
0,26,3,58783
0,38,3,64339
0,36,4,107205
0,77,1,137231
0,41,1,42568
0,33,0,66593
0,61,2,127372
0,32,4,140980
0,55,2,129637
0,80,0,127573
0,44,0,125276
0,20,2,141437
0,64,3,20110
0,37,3,62946
0,27,3,40109
0,71,1,103747
0,50,4,108766
0,30,2,77593
0,58,2,47596
0,55,4,147488
0,76,4,115331
0,75,0,145979
0,76,1,114951
0,55,1,142162
0,54,0,51274
0,68,2,64827
0,46,4,62270
0,23,1,35799
0,26,0,23172
0,37,1,135181
0,75,0,25660
0,48,0,147768
0,27,2,72027
0,54,3,70797
0,44,0,81011
0,63,4,80501
0,38,2,60207
0,55,4,114746
0,68,3,115515
0,60,1,86371
0,79,2,116049
0,34,3,41764
0,43,4,120576
0,67,2,136691
0,24,4,94401
0,20,3,64979
0,24,2,99682
0,80,3,111625
0,43,3,125656
0,31,1,105089
0,70,0,146683
0,59,1,39097
0,21,3,84404
0,69,2,80310
0,60,2,25375
0,20,0,53724
0,25,0,59309
0,57,0,81529
0,24,0,93281
0,45,2,44478
0,64,2,86575
0,51,4,94093
0,79,3,45362
0,70,1,36774
0,43,0,56498
0,38,3,128745
0,24,1,23891
0,35,3,126622
0,34,2,79761
0,26,4,30988
0,44,2,68132
0,74,3,31803
0,60,0,52956
0,72,3,117066
0,61,4,36394
0,19,3,125290
0,24,3,33960
0,64,4,65702
0,75,3,75134
0,62,0,125503
0,71,1,82296
0,38,4,121658
0,72,0,21882
0,70,2,100073
0,26,4,88035
0,37,2,101941
0,67,0,85027
0,39,0,92268
0,72,4,80030
0,18,4,116367
0,80,3,98010
0,33,4,26986
0,35,1,56738
0,77,4,27954
0,41,1,135971
0,22,4,79407
0,77,4,46479
0,72,1,20854
0,67,4,100724
0,41,1,119620
0,31,1,114070
0,45,1,79787
0,63,0,52391
0,30,4,107936
0,32,1,99386
0,68,4,44603
0,57,3,51233
0,26,2,89072
0,26,2,62808
0,72,3,44035
0,65,2,115939
0,77,4,120972
0,57,2,125653
0,52,3,123258
0,48,0,80997
0,52,4,145667
0,44,2,38316
0,34,3,59489
0,19,0,69934
0,30,4,77218
0,51,2,103707
0,72,0,45711
0,39,2,91399
0,41,4,129607
0,28,1,54397
0,22,0,142208
0,38,3,145595
0,78,4,69546
0,64,3,87984
0,46,3,66955
0,74,2,126946
0,44,0,44330
0,71,0,149660
0,76,1,124336
0,77,1,56918
0,77,1,142867
0,47,4,56322
0,23,0,126844
0,21,4,74826
0,60,2,43019
0,21,4,77402
0,41,0,139419
0,22,2,89681
0,58,4,46706
0,79,0,96410
0,37,2,43621
0,28,0,146348
0,63,3,74382
